,simulation,n_samples,criterion,n_dimensions,score,runtime
245,Logarithmic,17,oblique,10,96663.7341701424,1.3422644138336182
246,Logarithmic,17,oblique,10,96464.0796851773,1.2390656471252441
247,Logarithmic,17,oblique,10,96250.60075159138,1.2389717102050781
248,Logarithmic,17,oblique,10,96673.96115425721,1.2536771297454834
249,Logarithmic,17,oblique,10,96549.63765184357,1.2176182270050049
250,Logarithmic,20,mae,10,100782.36501874958,1.3896958827972412
251,Logarithmic,20,mae,10,100932.00268533827,1.5434150695800781
252,Logarithmic,20,mae,10,101200.83497006509,1.5213725566864014
253,Logarithmic,20,mae,10,101540.47674422633,1.4160289764404297
254,Logarithmic,20,mae,10,101322.85389130899,1.429429054260254
255,Logarithmic,20,mae,10,100983.24291884765,1.4244940280914307
256,Logarithmic,20,mae,10,101161.01373011444,1.568349838256836
257,Logarithmic,20,mae,10,101845.02378610816,1.4995734691619873
258,Logarithmic,20,mae,10,100965.16603120846,1.4948346614837646
259,Logarithmic,20,mae,10,100930.74954200834,1.5052969455718994
260,Logarithmic,20,mse,10,103642.30214192517,1.3237240314483643
261,Logarithmic,20,mse,10,102606.28039950313,1.0785892009735107
262,Logarithmic,20,mse,10,103105.25381976739,1.3106234073638916
263,Logarithmic,20,mse,10,102885.38868205118,1.4160778522491455
264,Logarithmic,20,mse,10,103337.58003466722,1.1216094493865967
265,Logarithmic,20,mse,10,102416.88320173857,1.1751055717468262
266,Logarithmic,20,mse,10,102497.72384596884,1.1621460914611816
267,Logarithmic,20,mse,10,103266.92435009997,1.181297779083252
268,Logarithmic,20,mse,10,103589.42677087834,1.169111967086792
269,Logarithmic,20,mse,10,103247.21270165758,1.137831449508667
270,Logarithmic,20,friedman_mse,10,100874.37471906257,1.1062333583831787
271,Logarithmic,20,friedman_mse,10,100606.82402723622,1.0791854858398438
272,Logarithmic,20,friedman_mse,10,100943.01725518052,1.100511074066162
273,Logarithmic,20,friedman_mse,10,100706.56384529358,1.1628673076629639
274,Logarithmic,20,friedman_mse,10,101042.48792205755,1.0746619701385498
275,Logarithmic,20,friedman_mse,10,101371.88316306696,1.1802260875701904
276,Logarithmic,20,friedman_mse,10,100515.03043864208,1.0640900135040283
277,Logarithmic,20,friedman_mse,10,100612.77180928295,1.0794241428375244
278,Logarithmic,20,friedman_mse,10,100815.59200550648,1.1105949878692627
279,Logarithmic,20,friedman_mse,10,100788.528548261,1.0910098552703857
280,Logarithmic,20,axis,10,96378.4837737128,1.8652117252349854
281,Logarithmic,20,axis,10,97019.06229490122,1.7957568168640137
282,Logarithmic,20,axis,10,96304.39573500722,1.8681039810180664
283,Logarithmic,20,axis,10,95996.3142779442,2.057689905166626
284,Logarithmic,20,axis,10,96568.45372369644,2.18691086769104
285,Logarithmic,20,axis,10,96809.50826557218,1.9856295585632324
286,Logarithmic,20,axis,10,96343.1868619225,2.0796635150909424
287,Logarithmic,20,axis,10,96058.12626338455,1.7577707767486572
288,Logarithmic,20,axis,10,96656.39382381961,1.8148221969604492
289,Logarithmic,20,axis,10,97010.6473828004,1.8116238117218018
290,Logarithmic,20,oblique,10,95453.91624041811,1.2887966632843018
291,Logarithmic,20,oblique,10,95255.27407907443,1.2942705154418945
292,Logarithmic,20,oblique,10,95184.6234837971,1.2022697925567627
293,Logarithmic,20,oblique,10,95427.56469323461,1.3134961128234863
294,Logarithmic,20,oblique,10,95334.02240680926,1.319906234741211
295,Logarithmic,20,oblique,10,95481.60858268142,1.2178065776824951
296,Logarithmic,20,oblique,10,95547.71872100464,1.4403741359710693
297,Logarithmic,20,oblique,10,95204.401939245,1.3249592781066895
298,Logarithmic,20,oblique,10,95692.4717120738,1.3118870258331299
299,Logarithmic,20,oblique,10,95197.37444413791,1.442185640335083
300,Logarithmic,23,mae,10,98116.73174489009,1.7159631252288818
301,Logarithmic,23,mae,10,97863.1057988976,1.579286813735962
302,Logarithmic,23,mae,10,97868.6820687145,1.7059869766235352
303,Logarithmic,23,mae,10,98147.35607584807,1.626575231552124
304,Logarithmic,23,mae,10,98312.71713560398,1.6036043167114258
305,Logarithmic,23,mae,10,98014.86343812714,1.7253994941711426
306,Logarithmic,23,mae,10,97823.89437744202,1.6423757076263428
307,Logarithmic,23,mae,10,98246.66589672117,1.6279988288879395
308,Logarithmic,23,mae,10,97842.12960144461,1.6798450946807861
309,Logarithmic,23,mae,10,98159.12803706495,1.5829007625579834
310,Logarithmic,23,mse,10,99422.95129362166,1.109983205795288
311,Logarithmic,23,mse,10,99686.71289145591,1.1495561599731445
312,Logarithmic,23,mse,10,99810.49603299983,1.0923969745635986
313,Logarithmic,23,mse,10,99429.82527633668,1.0884430408477783
314,Logarithmic,23,mse,10,99604.53537559428,1.1504030227661133
315,Logarithmic,23,mse,10,99792.6680097409,1.1649236679077148
316,Logarithmic,23,mse,10,99646.47615437806,1.0607216358184814
317,Logarithmic,23,mse,10,99711.85545407643,1.1653268337249756
318,Logarithmic,23,mse,10,99785.14533799123,1.092832326889038
319,Logarithmic,23,mse,10,99861.25336347114,1.083954095840454
320,Logarithmic,23,friedman_mse,10,98126.27719106179,1.210698127746582
321,Logarithmic,23,friedman_mse,10,98276.6131671112,1.0479326248168945
322,Logarithmic,23,friedman_mse,10,97928.62009719599,1.1757829189300537
323,Logarithmic,23,friedman_mse,10,98160.77692362091,1.066988229751587
324,Logarithmic,23,friedman_mse,10,97501.45553432815,1.1233429908752441
325,Logarithmic,23,friedman_mse,10,98210.99954649825,1.0618669986724854
326,Logarithmic,23,friedman_mse,10,98102.3323771237,1.0797560214996338
327,Logarithmic,23,friedman_mse,10,97973.18285108698,1.246729850769043
328,Logarithmic,23,friedman_mse,10,97815.0782332565,1.018235683441162
329,Logarithmic,23,friedman_mse,10,97954.85902735553,1.2111403942108154
330,Logarithmic,23,axis,10,95650.2911606788,2.0632221698760986
331,Logarithmic,23,axis,10,95201.79171351015,1.9791386127471924
332,Logarithmic,23,axis,10,95335.64224007865,1.8932673931121826
333,Logarithmic,23,axis,10,95285.79820946653,1.9589812755584717
334,Logarithmic,23,axis,10,94959.03468116511,1.9337778091430664
335,Logarithmic,23,axis,10,95134.5062105448,1.8939018249511719
336,Logarithmic,23,axis,10,95312.94654683354,2.051809787750244
337,Logarithmic,23,axis,10,95408.8940758674,1.9267728328704834
338,Logarithmic,23,axis,10,95329.55181821427,1.8362157344818115
339,Logarithmic,23,axis,10,95137.67832828459,2.102081060409546
340,Logarithmic,23,oblique,10,94887.59697866914,1.380014419555664
341,Logarithmic,23,oblique,10,94675.02073046914,1.288494348526001
342,Logarithmic,23,oblique,10,94875.24961807276,1.3328051567077637
343,Logarithmic,23,oblique,10,94882.73982087492,1.437387466430664
344,Logarithmic,23,oblique,10,94601.67007150347,1.3166356086730957
345,Logarithmic,23,oblique,10,94806.50601076984,1.393707513809204
346,Logarithmic,23,oblique,10,94993.01714028534,1.5484869480133057
347,Logarithmic,23,oblique,10,94650.37135179082,1.3242216110229492
348,Logarithmic,23,oblique,10,94724.17830480455,1.3233585357666016
349,Logarithmic,23,oblique,10,94956.00988579837,1.5193994045257568
350,Logarithmic,26,mae,10,96426.16657247706,1.6862988471984863
351,Logarithmic,26,mae,10,96083.99885251533,1.6876094341278076
352,Logarithmic,26,mae,10,96497.98369079464,1.5901310443878174
353,Logarithmic,26,mae,10,96784.97924704349,1.70503830909729
354,Logarithmic,26,mae,10,96360.94281997389,1.672386646270752
355,Logarithmic,26,mae,10,96813.61524438116,1.6995153427124023
356,Logarithmic,26,mae,10,96192.64823853418,1.6415579319000244
357,Logarithmic,26,mae,10,96415.38615693699,1.644097089767456
358,Logarithmic,26,mae,10,96466.49561522852,1.620809555053711
359,Logarithmic,26,mae,10,96496.74069208688,1.6232059001922607
360,Logarithmic,26,mse,10,98148.2649274085,1.085179328918457
361,Logarithmic,26,mse,10,98294.22589751668,1.207653284072876
362,Logarithmic,26,mse,10,97814.12027497352,1.0993542671203613
363,Logarithmic,26,mse,10,98229.77645064304,1.094099521636963
364,Logarithmic,26,mse,10,97717.71622692017,1.077577829360962
365,Logarithmic,26,mse,10,97989.14312089191,1.1550507545471191
