,sim,n_samples,n_dim,split,mse
310,spiral_sim,30,7,mse,3.4277350467845333
311,spiral_sim,30,7,mse,1.9801285666237116
312,spiral_sim,30,7,mse,1.3640719485028128
313,spiral_sim,30,7,mse,6.506383532313657
314,spiral_sim,30,7,mse,1.6803272476158637
315,spiral_sim,30,7,mse,3.3977600627969426
316,spiral_sim,30,7,mse,2.32394867706631
317,spiral_sim,30,7,mse,3.2078052043349037
318,spiral_sim,30,7,mse,3.5960495038453217
319,spiral_sim,30,7,mse,3.640581660295592
320,cub_sim,30,8,mse,323.84676107190234
321,cub_sim,30,8,mse,5600.862553528659
322,cub_sim,30,8,mse,833.4820026554052
323,cub_sim,30,8,mse,26584.902075078906
324,cub_sim,30,8,mse,1542.4034911035124
325,cub_sim,30,8,mse,613.7426532150148
326,cub_sim,30,8,mse,162.15866119166967
327,cub_sim,30,8,mse,10512.419074094434
328,cub_sim,30,8,mse,608.0700693785113
329,cub_sim,30,8,mse,56.211971119003344
330,spiral_sim,30,8,mse,3.424658856230332
331,spiral_sim,30,8,mse,3.284250967948106
332,spiral_sim,30,8,mse,3.674403999354318
333,spiral_sim,30,8,mse,3.0958050543641504
334,spiral_sim,30,8,mse,3.112638156209775
335,spiral_sim,30,8,mse,2.708863047323811
336,spiral_sim,30,8,mse,3.6262273899960493
337,spiral_sim,30,8,mse,6.430868168018439
338,spiral_sim,30,8,mse,3.1937215264458474
339,spiral_sim,30,8,mse,0.5163939487763598
340,cub_sim,30,9,mse,519.80207967253
341,cub_sim,30,9,mse,1088.668123309671
342,cub_sim,30,9,mse,2036.090945534195
343,cub_sim,30,9,mse,534.8328366759462
344,cub_sim,30,9,mse,992.3604705283772
345,cub_sim,30,9,mse,23059.200585446633
346,cub_sim,30,9,mse,6439.225291286587
347,cub_sim,30,9,mse,11895.069566246555
348,cub_sim,30,9,mse,11290.412412718691
349,cub_sim,30,9,mse,6720.594033006109
350,spiral_sim,30,9,mse,3.46410290242517
351,spiral_sim,30,9,mse,3.932726815156221
352,spiral_sim,30,9,mse,4.122779667719501
353,spiral_sim,30,9,mse,3.5778915759285588
354,spiral_sim,30,9,mse,5.047230964176449
