,n_samples,n_dim,split,mse
565,70,4,mae,0.25649063254899696
566,70,4,mae,0.2277099454629711
567,70,4,mae,0.20950886576969263
568,70,4,mae,0.22964220040707067
569,70,4,mae,0.22538661253223463
570,70,5,mae,0.2741528985735276
571,70,5,mae,0.26517704369773215
572,70,5,mae,0.26405457796150467
573,70,5,mae,0.26968245560472875
574,70,5,mae,0.2474617027941537
575,70,5,mae,0.25856678464038557
576,70,5,mae,0.26144028806721253
577,70,5,mae,0.25688672874606056
578,70,5,mae,0.260166051052755
579,70,5,mae,0.2547954232057008
580,70,6,mae,0.3001217578683289
581,70,6,mae,0.2809751668491433
582,70,6,mae,0.2916562443758998
583,70,6,mae,0.29178756703379993
584,70,6,mae,0.2777843627931078
585,70,6,mae,0.30056195864426644
586,70,6,mae,0.27159211601822075
587,70,6,mae,0.28631405131233917
588,70,6,mae,0.27077927476673874
589,70,6,mae,0.2984239941191212
590,70,7,mae,0.32762011981605355
591,70,7,mae,0.313739470778121
592,70,7,mae,0.3085242969255971
593,70,7,mae,0.3123194377771216
594,70,7,mae,0.31782522491671716
595,70,7,mae,0.31574769470164327
596,70,7,mae,0.3084458416627631
597,70,7,mae,0.31756028819797166
598,70,7,mae,0.3050309859970164
599,70,7,mae,0.30594342807259106
600,70,8,mae,0.33939476013104486
601,70,8,mae,0.3269423811931014
602,70,8,mae,0.3175416036562205
603,70,8,mae,0.32027322989392537
604,70,8,mae,0.332202677687968
605,70,8,mae,0.32582863710568416
606,70,8,mae,0.3343349273897581
607,70,8,mae,0.33964900975671986
608,70,8,mae,0.32197178872754184
609,70,8,mae,0.33400002801638506
610,70,9,mae,0.38427310869807496
611,70,9,mae,0.3564683020165681
612,70,9,mae,0.35631482041791146
613,70,9,mae,0.362336308009656
614,70,9,mae,0.3352169833634727
615,70,9,mae,0.35461122094260883
616,70,9,mae,0.36726641212992417
617,70,9,mae,0.366934039074839
618,70,9,mae,0.3524002623975015
619,70,9,mae,0.3479899899280609
620,70,10,mae,0.37818053458760575
621,70,10,mae,0.3727631562181169
622,70,10,mae,0.3670572490220361
623,70,10,mae,0.3819665583264464
624,70,10,mae,0.3737795508617956
625,70,10,mae,0.3748658049622577
626,70,10,mae,0.3908082580423967
627,70,10,mae,0.3780345693197096
628,70,10,mae,0.3653343344834497
629,70,10,mae,0.3633801153858555
630,80,2,mae,0.12329683042546316
631,80,2,mae,0.13904120787226223
632,80,2,mae,0.12901105471396587
633,80,2,mae,0.11653490660413124
634,80,2,mae,0.13767835544480617
635,80,2,mae,0.11771487902923346
636,80,2,mae,0.11038260092386261
637,80,2,mae,0.12342990652270014
638,80,2,mae,0.11396249604713582
639,80,2,mae,0.12808340496875653
640,80,3,mae,0.1675858017885949
641,80,3,mae,0.17278873696513605
642,80,3,mae,0.18294027517963202
643,80,3,mae,0.18247102923526787
644,80,3,mae,0.16583928857487487
645,80,3,mae,0.18713637772699568
646,80,3,mae,0.18122544202917074
647,80,3,mae,0.17381803586017047
648,80,3,mae,0.18042188151996158
649,80,3,mae,0.17373978052391786
650,80,4,mae,0.22614531106301045
651,80,4,mae,0.2160909703825961
652,80,4,mae,0.21180141165062402
653,80,4,mae,0.21263502654826497
654,80,4,mae,0.22423806919100714
655,80,4,mae,0.22350533702860295
656,80,4,mae,0.208285632188564
657,80,4,mae,0.22390113632344294
658,80,4,mae,0.20675758186980944
659,80,4,mae,0.19481098719389411
660,80,5,mae,0.23178149405466067
661,80,5,mae,0.24898226161890952
662,80,5,mae,0.24927751762025543
663,80,5,mae,0.2451063528137137
664,80,5,mae,0.25839059369590694
665,80,5,mae,0.2484184139790903
666,80,5,mae,0.24019714705709433
