,n_samples,simulation,criterion,average,error
331,30,quadratic,mse,3.3891496440848643,0.023436480697326966
332,30,quadratic,friedman_mse,3.235863882765121,0.04017023864756767
333,30,w_shape,mae,4.46070181044689,0.08242341879628358
334,30,w_shape,mse,4.185961638094131,0.09986886828367751
335,30,w_shape,friedman_mse,4.081320379088524,0.16981460615686636
336,30,two_parabolas,mae,0.04271008696235006,0.0007544617912722009
337,30,two_parabolas,mse,0.04432991760595233,0.00104119677515934
338,30,two_parabolas,friedman_mse,0.04462468341811006,0.0005810209333145269
339,30,fourth_root,mae,0.19483871070605266,0.0014239762993722342
340,30,fourth_root,mse,0.20192005744281744,0.0017171781367722617
341,30,fourth_root,friedman_mse,0.18921207776957621,0.0017227992099151474
342,30,multi_indept,mae,0.11241088224716891,0.0006816718872999987
343,30,multi_indept,mse,0.11239234991111569,0.0011674438469734306
344,30,multi_indept,friedman_mse,0.1127154912918155,0.0008173769367546857
345,30,bernoulli,mae,1.6677285003782754,0.009898422280843026
346,30,bernoulli,mse,1.7062044477528289,0.013492953028012396
347,30,bernoulli,friedman_mse,1.6652167074131197,0.017673140334332628
348,30,square,mae,0.060059219878863326,0.00018232559572331527
349,30,square,mse,0.06023435019897574,0.0001526668888305942
350,30,square,friedman_mse,0.05960257862287127,0.0001257942624014572
351,30,linear,mae,0.7915193857873355,0.004343936882637313
352,30,linear,mse,0.7880400951083665,0.004817088463499651
353,30,linear,friedman_mse,0.7696432274268803,0.004182597566443908
354,30,exponential,mae,176.42911818003617,4.867998974599528
355,30,exponential,mse,175.20799733379948,5.236854476173785
356,30,exponential,friedman_mse,184.78157152058995,7.503593420555768
357,30,cubic,mae,158.55323146112056,4.075200881006609
358,30,cubic,mse,151.85064329666642,1.2274042736186608
359,30,cubic,friedman_mse,130.68640677061768,1.714775566130993
360,35,joint_normal,mae,0.108049862620726,0.0004567593701509726
361,35,joint_normal,mse,0.10943146424592391,0.00025310851410580696
362,35,joint_normal,friedman_mse,0.11042141036004145,0.00013938537315966233
363,35,sine_4pi,mae,0.07175030867761009,8.87383738202162e-05
364,35,sine_4pi,mse,0.07304679038476339,0.00018611469221014963
365,35,sine_4pi,friedman_mse,0.07211624697172579,0.00017359453619202948
366,35,sine_16pi,mae,0.07229935946761298,9.959854073700727e-05
367,35,sine_16pi,mse,0.07186092050529413,9.269134909013706e-05
368,35,sine_16pi,friedman_mse,0.07187086581104336,0.00020999352943339373
369,35,multi_noise,mae,0.10712503279126391,0.00040042529496794497
370,35,multi_noise,mse,0.10314276699702982,0.00019590747709100103
371,35,multi_noise,friedman_mse,0.10523892283575839,0.0001983083166413224
372,35,step,mae,0.5546994829546852,0.00468278987148681
373,35,step,mse,0.5489893960516813,0.0028998314228620846
374,35,step,friedman_mse,0.5594319508757694,0.0025143336956509406
375,35,spiral,mae,5.209042635928151,0.056801458095009125
376,35,spiral,mse,5.014992710777856,0.03195711937213843
377,35,spiral,friedman_mse,5.129645055875129,0.06274433706616488
378,35,circle,mae,0.07449401772683992,0.0005080103154835051
379,35,circle,mse,0.07603002301163235,0.0007116116435363541
380,35,circle,friedman_mse,0.07434334246667638,0.00086731578613573
381,35,ellipse,mae,0.07599399088529453,0.0005501846529838737
382,35,ellipse,mse,0.07346209678003454,0.0005839111602909472
383,35,ellipse,friedman_mse,0.07523644235889664,0.0007081894059514944
384,35,diamond,mae,0.06014449312936684,0.00014512653241402796
385,35,diamond,mse,0.05972142567782597,8.860548508242145e-05
386,35,diamond,friedman_mse,0.059776635230315386,0.00013144627444574192
387,35,log,mae,0.3158133641754826,0.0011570822403363435
388,35,log,mse,0.3018514059041212,0.0017570887164750659
389,35,log,friedman_mse,0.3098744083045185,0.0007729327892487159
390,35,quadratic,mae,3.4256280802223755,0.03359752122202258
391,35,quadratic,mse,3.2683454330746615,0.026475308534265257
392,35,quadratic,friedman_mse,3.150397311560708,0.02171017158539692
393,35,w_shape,mae,4.6890990305915725,0.0653255435485234
394,35,w_shape,mse,4.024070867538489,0.11194846600510959
395,35,w_shape,friedman_mse,3.7917364426143165,0.049520154051760995
396,35,two_parabolas,mae,0.04311736969099712,0.0004392470901271846
397,35,two_parabolas,mse,0.04290421688781774,0.0003725474892857742
398,35,two_parabolas,friedman_mse,0.044293722234827956,0.0002604036185926846
399,35,fourth_root,mae,0.202415545787616,0.001872388306650419
400,35,fourth_root,mse,0.19787759627922302,0.00160212731464041
401,35,fourth_root,friedman_mse,0.19218470856173814,0.0006211282324906169
402,35,multi_indept,mae,0.1109986106207747,0.0005794192771514283
403,35,multi_indept,mse,0.11225098385470937,0.0006572734914466208
404,35,multi_indept,friedman_mse,0.1125302896732241,0.0009903130157420182
405,35,bernoulli,mae,1.6732606076500516,0.005820109130938188
406,35,bernoulli,mse,1.6883232309295668,0.00787342016411801
407,35,bernoulli,friedman_mse,1.7286856645765991,0.010472329664023476
408,35,square,mae,0.05917506276250536,0.00011532432997943907
409,35,square,mse,0.05951423564807633,6.64571276452114e-05
410,35,square,friedman_mse,0.05999377260867948,9.575338778502125e-05
411,35,linear,mae,0.7954743979846054,0.005735601120798248
412,35,linear,mse,0.7907005176390045,0.005873836314358292
413,35,linear,friedman_mse,0.7968361863365994,0.004849249452059199
414,35,exponential,mae,188.799845916532,2.641151907296317
415,35,exponential,mse,182.79823683049642,3.537887531251539
416,35,exponential,friedman_mse,177.84445337918345,3.2029449626522872
417,35,cubic,mae,160.83739241270888,2.8281488587902617
418,35,cubic,mse,143.02982974830442,2.888805549784613
419,35,cubic,friedman_mse,136.8574275428237,2.0578337787553833
420,40,joint_normal,mae,0.10834550202176321,0.0001851463480281922
421,40,joint_normal,mse,0.10923637119635528,0.0002038832162194403
422,40,joint_normal,friedman_mse,0.10875320764326077,0.00019533458182104026
423,40,sine_4pi,mae,0.0719186084459256,0.00013445150095981847
424,40,sine_4pi,mse,0.07220068419961709,0.00013214239341417794
425,40,sine_4pi,friedman_mse,0.07169637110076317,0.0001328505804751229
426,40,sine_16pi,mae,0.07204250140086345,7.199879713372158e-05
427,40,sine_16pi,mse,0.07244428928090632,0.0001372369056066101
428,40,sine_16pi,friedman_mse,0.0719949532534216,9.051703521747999e-05
429,40,multi_noise,mae,0.10408118687095784,0.00034610690882266203
430,40,multi_noise,mse,0.10430646373706365,0.0004021386527716762
431,40,multi_noise,friedman_mse,0.1031456743007108,0.00019808232288969348
432,40,step,mae,0.5599452332911155,0.00375824579502628
433,40,step,mse,0.5532136285586606,0.002805814978938011
434,40,step,friedman_mse,0.5559218971453799,0.002536333461551589
435,40,spiral,mae,5.16213742935912,0.057998980422598045
436,40,spiral,mse,4.956554819338072,0.05395564829019758
437,40,spiral,friedman_mse,5.090026004956607,0.036737070880183346
438,40,circle,mae,0.07493683077362623,0.0003959290608453672
439,40,circle,mse,0.07463332501441192,0.000547326584997823
440,40,circle,friedman_mse,0.07528893530278508,0.0007973014762075563
441,40,ellipse,mae,0.07498468463717799,0.0004917003115087434
442,40,ellipse,mse,0.07437530644678438,0.00047915495893705766
